	featureCounts KO3	featureCounts KO2	featureCounts on KO1	featureCounts FLOX3	featureCounts FLOX2	featureCounts FLOX1
MSTRG.1	1499.47236524156	1442.0063091338	1387.31066804056	2627.59745051045	2198.80904621449	2771.54445241154
MSTRG.2	0	0.995173436255212	5.26293880136781	1.01963424544449	2.65023187571052	0.930048473963603
MSTRG.3	1.11484934218703	0.995173436255212	0	2.03926849088898	0.88341062523684	3.72019389585441
MSTRG.4	769.246046109053	738.418689701368	821.018453013379	990.0648523266	874.576518984471	870.525371629933
MSTRG.5	2847.32521994568	3077.07626490112	3001.9802923002	2873.32930366257	3124.6233814627	2677.60955654121
MSTRG.6	1034.58018954957	1013.08655810781	1102.05938500642	1110.38169328905	1093.66235404321	1171.86107719414
MSTRG.7	5.57424671093517	1.99034687251042	4.21035104109425	4.07853698177796	0.88341062523684	2.79014542189081
MSTRG.8	7.80394539530924	7.9613874900417	3.15776328082069	7.13743971811143	2.65023187571052	5.58029084378162
MSTRG.9	1.11484934218703	0.995173436255212	1.05258776027356	1.01963424544449	0	5.58029084378162
MSTRG.10	1695.68584946648	1776.38458371555	1875.71138880749	2228.92046054166	2146.68781932552	1954.96189227149
MSTRG.11	2793.81245152071	2706.87174661418	2886.19563867011	2877.40784064435	2947.94125641533	3244.93912565901
MSTRG.12	6.6890960531222	1.99034687251042	0	1.01963424544449	0	1.86009694792721
MSTRG.13	0	0	1.05258776027356	0	0	0
MSTRG.14	1.11484934218703	0	0	0	0.88341062523684	0
MSTRG.15	3197.38791339241	3592.57610488132	3636.69071174516	4121.36162008663	4811.93767566507	4431.68097843657
MSTRG.16	1.11484934218703	0	0	0	0	0
MSTRG.17	0	0	0	0	0	0
MSTRG.18	0	0	0	0	0	0
MSTRG.19	21.1821375015536	26.8696827788907	14.7362286438299	40.7853698177796	41.5202993861315	19.5310179532357
MSTRG.20	602.018644780998	681.69380383482	630.500068403864	659.703356802585	746.48197832513	666.844755831904
MSTRG.21	84.7285500062146	79.613874900417	77.8914942602436	81.5707396355592	81.2737775217893	75.3339263910519
MSTRG.22	11.1484934218703	6.96621405378649	2.10517552054713	6.11780547266694	7.06728500189472	15.8108240573813
MSTRG.23	32.330630923424	38.8117640139533	41.0509226506689	50.9817122722245	45.9373525123157	55.8029084378162
MSTRG.24	5.57424671093517	10.9469077988073	5.26293880136781	12.2356109453339	14.1345700037894	13.0206786354904
MSTRG.25	410.264557924828	490.62050407382	491.558484047754	364.009425623683	368.382230723762	221.351536803338
MSTRG.26	14.4930414484314	17.9131218525938	12.6310531232828	14.2748794362229	12.3677487533158	9.30048473963603
MSTRG.27	1924.22996461482	1720.65487128526	1894.65796849241	1969.93336219876	1835.72727924215	2028.43572171462
MSTRG.28	1.11484934218703	4.97586718127606	2.10517552054713	4.07853698177796	0.88341062523684	0.930048473963603
MSTRG.29	733.570867159068	675.722763217289	723.127791307938	653.585551329918	597.185582660104	751.479166962592
MSTRG.30	5.57424671093517	6.96621405378649	0	0	1.76682125047368	4.65024236981802
MSTRG.31	4.45939736874814	2.98552030876564	1.05258776027356	8.15707396355592	0.88341062523684	3.72019389585441
MSTRG.32	141.585866457753	124.396679531902	139.994172116384	153.964771062118	112.193149405079	176.709210053085
MSTRG.33	1789.33319421019	1990.34687251042	2111.49104710877	1956.67811700798	2026.54397429331	1910.31956552124
MSTRG.34	2.22969868437407	2.98552030876564	2.10517552054713	3.05890273633347	3.53364250094736	5.58029084378162
MSTRG.35	1018.97229875895	895.656092629691	911.541000396905	855.473131927928	875.459929609708	907.727310588477
MSTRG.36	0	0	0	0	0	0
MSTRG.37	3349.00742392985	3099.96525393499	3269.33758340969	3480.01167970205	3388.76315840852	3450.47983840497
MSTRG.38	14552.1284635674	15654.0781522945	15162.5266867407	16837.2202950249	19702.7071746572	16727.8518527094
MSTRG.39	114.829482245265	184.107085707214	176.834743725959	160.082576534785	212.901960682078	218.561391381447
MSTRG.40	79.1543032952794	79.613874900417	53.6819757739517	38.7461013268906	36.2198356347104	52.0827145419618
MSTRG.41	2331.14997451309	2156.54083636505	2291.48355411555	2315.58937140444	2268.59848560821	2423.70632314915
MSTRG.42	18.9524388171796	7.9613874900417	15.7888164041034	12.2356109453339	16.7848018795	6.51033931774522
MSTRG.43	0	4.97586718127606	4.21035104109425	3.05890273633347	3.53364250094736	6.51033931774522
MSTRG.44	10.0336440796833	11.9420812350625	8.4207020821885	16.3141479271118	9.71751687760524	13.950727109454
MSTRG.45	22.2969868437407	19.9034687251042	16.841404164377	21.4123191543343	23.8520868813947	19.5310179532357
MSTRG.46	1.11484934218703	17.9131218525938	13.6836408835563	10.1963424544449	14.1345700037894	6.51033931774522
MSTRG.47	7.80394539530924	8.95656092629691	6.31552656164138	6.11780547266694	9.71751687760524	6.51033931774522
MSTRG.48	4.45939736874814	1.99034687251042	4.21035104109425	3.05890273633347	0	7.44038779170883
MSTRG.49	3689.0364732969	3598.54714549885	3958.78256638887	4175.40223509519	3902.90814229636	4146.15609692974
MSTRG.50	10.0336440796833	5.97104061753127	11.5784653630092	6.11780547266694	10.6009275028421	11.1605816875632
MSTRG.51	5.57424671093517	1.99034687251042	2.10517552054713	1.01963424544449	1.76682125047368	4.65024236981802
MSTRG.52	5.57424671093517	5.97104061753127	1.05258776027356	3.05890273633347	3.53364250094736	8.37043626567243
MSTRG.53	910.831912566807	979.250661275129	923.119465759915	1022.69314818082	1180.23659531642	869.595323155969
MSTRG.54	1.11484934218703	1.99034687251042	6.31552656164138	1.01963424544449	1.76682125047368	5.58029084378162
MSTRG.55	726.881771105946	644.872386693378	686.287219698363	710.68506907481	759.733137703682	747.758973066737
MSTRG.56	18.9524388171796	29.8552030876564	30.5250450479333	21.4123191543343	14.1345700037894	16.7408725313449
MSTRG.57	1.11484934218703	0	5.26293880136781	6.11780547266694	0	2.79014542189081
